Rk,Tm,Overall,Balance
1,SAC,61-21,0.7439024390243902
2,LAL,58-24,0.7073170731707317
3,SAS,58-24,0.7073170731707317
4,DAL,57-25,0.6951219512195121
5,NJN,52-30,0.6341463414634146
6,DET,50-32,0.6097560975609756
7,MIN,50-32,0.6097560975609756
8,BOS,49-33,0.5975609756097561
9,POR,49-33,0.5975609756097561
10,SEA,45-37,0.5487804878048781
11,CHA,44-38,0.5365853658536586
12,ORL,44-38,0.5365853658536586
13,UTA,44-38,0.5365853658536586
14,PHI,43-39,0.524390243902439
15,IND,42-40,0.5121951219512195
16,TOR,42-40,0.5121951219512195
17,MIL,41-41,0.5
18,LAC,39-43,0.47560975609756095
19,WAS,37-45,0.45121951219512196
20,MIA,36-46,0.43902439024390244
21,PHO,36-46,0.43902439024390244
22,ATL,33-49,0.4024390243902439
23,NYK,30-52,0.36585365853658536
24,CLE,29-53,0.35365853658536583
25,HOU,28-54,0.34146341463414637
26,DEN,27-55,0.32926829268292684
27,MEM,23-59,0.2804878048780488
28,CHI,21-61,0.25609756097560976
29,GSW,21-61,0.25609756097560976
